"dataset","seed_id","seed","batch","n_reference_units","n_internal_units","n_hidden","n_training","n_external","first_internal_reference_id","last_internal_reference_id","protect_first_last_required","boundary_constraint_passed","min_training_required","training_constraint_passed","batch_hidden_count_constraint_passed","boundary_reference_ids_redacted"
"mtbls79","SPLIT08",202608008,"5",5,5,1,4,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"6",5,5,2,3,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT08",202608008,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"1",7,7,3,4,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"5",5,5,2,3,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"6",5,5,1,4,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT09",202608009,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"1",7,7,3,4,0,"batch01_QC01","batch01_QC07",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"2",4,4,1,3,0,"batch02_QC08","batch02_QC11",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"3",4,4,1,3,0,"batch03_QC12","batch03_QC15",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"4",4,4,1,3,0,"batch04_QC16","batch04_QC19",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"5",5,5,1,4,0,"batch05_QC20","batch05_QC24",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"6",5,5,2,3,0,"Batch06_QC25","Batch06_QC29",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"7",5,5,2,3,0,"Batch07_QC30","Batch07_QC34",TRUE,TRUE,3,TRUE,TRUE,FALSE
"mtbls79","SPLIT10",202608010,"8",4,4,1,3,0,"Batch08_QC36","Batch08_QC39",TRUE,TRUE,3,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B1",5,5,1,4,0,"LCMS sample 1","LCMS sample 79",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B2",6,6,1,5,0,"LCMS sample 80","LCMS sample 157",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B9",5,5,1,4,0,"LCMS sample 158","LCMS sample 236",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B10",5,5,1,4,0,"LCMS sample 237","LCMS sample 284",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B7",5,5,1,4,0,"LCMS sample 285","LCMS sample 363",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B8",5,5,1,4,0,"LCMS sample 364","LCMS sample 443",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B3",5,5,1,4,0,"LCMS sample 444","LCMS sample 522",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B4",5,5,1,4,0,"LCMS sample 523","LCMS sample 601",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B5",5,5,1,4,0,"LCMS sample 602","LCMS sample 681",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT01",202608001,"B6",5,5,1,4,0,"LCMS sample 682","LCMS sample 761",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B1",5,5,1,4,0,"LCMS sample 1","LCMS sample 79",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B2",6,6,1,5,0,"LCMS sample 80","LCMS sample 157",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B9",5,5,1,4,0,"LCMS sample 158","LCMS sample 236",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B10",5,5,1,4,0,"LCMS sample 237","LCMS sample 284",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B7",5,5,1,4,0,"LCMS sample 285","LCMS sample 363",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B8",5,5,1,4,0,"LCMS sample 364","LCMS sample 443",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B3",5,5,1,4,0,"LCMS sample 444","LCMS sample 522",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B4",5,5,1,4,0,"LCMS sample 523","LCMS sample 601",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B5",5,5,1,4,0,"LCMS sample 602","LCMS sample 681",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT02",202608002,"B6",5,5,1,4,0,"LCMS sample 682","LCMS sample 761",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B1",5,5,1,4,0,"LCMS sample 1","LCMS sample 79",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B2",6,6,1,5,0,"LCMS sample 80","LCMS sample 157",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B9",5,5,1,4,0,"LCMS sample 158","LCMS sample 236",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B10",5,5,1,4,0,"LCMS sample 237","LCMS sample 284",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B7",5,5,1,4,0,"LCMS sample 285","LCMS sample 363",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B8",5,5,1,4,0,"LCMS sample 364","LCMS sample 443",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B3",5,5,1,4,0,"LCMS sample 444","LCMS sample 522",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B4",5,5,1,4,0,"LCMS sample 523","LCMS sample 601",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B5",5,5,1,4,0,"LCMS sample 602","LCMS sample 681",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT03",202608003,"B6",5,5,1,4,0,"LCMS sample 682","LCMS sample 761",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B1",5,5,1,4,0,"LCMS sample 1","LCMS sample 79",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B2",6,6,1,5,0,"LCMS sample 80","LCMS sample 157",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B9",5,5,1,4,0,"LCMS sample 158","LCMS sample 236",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B10",5,5,1,4,0,"LCMS sample 237","LCMS sample 284",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B7",5,5,1,4,0,"LCMS sample 285","LCMS sample 363",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B8",5,5,1,4,0,"LCMS sample 364","LCMS sample 443",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B3",5,5,1,4,0,"LCMS sample 444","LCMS sample 522",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B4",5,5,1,4,0,"LCMS sample 523","LCMS sample 601",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B5",5,5,1,4,0,"LCMS sample 602","LCMS sample 681",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT04",202608004,"B6",5,5,1,4,0,"LCMS sample 682","LCMS sample 761",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B1",5,5,1,4,0,"LCMS sample 1","LCMS sample 79",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B2",6,6,1,5,0,"LCMS sample 80","LCMS sample 157",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B9",5,5,1,4,0,"LCMS sample 158","LCMS sample 236",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B10",5,5,1,4,0,"LCMS sample 237","LCMS sample 284",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B7",5,5,1,4,0,"LCMS sample 285","LCMS sample 363",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B8",5,5,1,4,0,"LCMS sample 364","LCMS sample 443",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B3",5,5,1,4,0,"LCMS sample 444","LCMS sample 522",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B4",5,5,1,4,0,"LCMS sample 523","LCMS sample 601",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B5",5,5,1,4,0,"LCMS sample 602","LCMS sample 681",TRUE,TRUE,4,TRUE,TRUE,FALSE
"batchcorr_set1","SPLIT05",202608005,"B6",5,5,1,4,0,"LCMS sample 682","LCMS sample 761",TRUE,TRUE,4,TRUE,TRUE,FALSE
