"seed_id","confounding_type","level","scenario_id","method_id","task_id","status"
"CONF05","batch",1,"CONF05_batch_1p00","winn_fixed_no_qc","CONF_135","planned"
"CONF06","batch",1,"CONF06_batch_1p00","winn_fixed_no_qc","CONF_136","planned"
"CONF07","batch",1,"CONF07_batch_1p00","winn_fixed_no_qc","CONF_137","planned"
"CONF08","batch",1,"CONF08_batch_1p00","winn_fixed_no_qc","CONF_138","planned"
"CONF09","batch",1,"CONF09_batch_1p00","winn_fixed_no_qc","CONF_139","planned"
"CONF10","batch",1,"CONF10_batch_1p00","winn_fixed_no_qc","CONF_140","planned"
"CONF01","run_order",1,"CONF01_run_order_1p00","winn_fixed_no_qc","CONF_141","planned"
"CONF02","run_order",1,"CONF02_run_order_1p00","winn_fixed_no_qc","CONF_142","planned"
"CONF03","run_order",1,"CONF03_run_order_1p00","winn_fixed_no_qc","CONF_143","planned"
"CONF04","run_order",1,"CONF04_run_order_1p00","winn_fixed_no_qc","CONF_144","planned"
"CONF05","run_order",1,"CONF05_run_order_1p00","winn_fixed_no_qc","CONF_145","planned"
"CONF06","run_order",1,"CONF06_run_order_1p00","winn_fixed_no_qc","CONF_146","planned"
"CONF07","run_order",1,"CONF07_run_order_1p00","winn_fixed_no_qc","CONF_147","planned"
"CONF08","run_order",1,"CONF08_run_order_1p00","winn_fixed_no_qc","CONF_148","planned"
"CONF09","run_order",1,"CONF09_run_order_1p00","winn_fixed_no_qc","CONF_149","planned"
"CONF10","run_order",1,"CONF10_run_order_1p00","winn_fixed_no_qc","CONF_150","planned"
"CONF01","joint",1,"CONF01_joint_1p00","winn_fixed_no_qc","CONF_151","planned"
"CONF02","joint",1,"CONF02_joint_1p00","winn_fixed_no_qc","CONF_152","planned"
"CONF03","joint",1,"CONF03_joint_1p00","winn_fixed_no_qc","CONF_153","planned"
"CONF04","joint",1,"CONF04_joint_1p00","winn_fixed_no_qc","CONF_154","planned"
"CONF05","joint",1,"CONF05_joint_1p00","winn_fixed_no_qc","CONF_155","planned"
"CONF06","joint",1,"CONF06_joint_1p00","winn_fixed_no_qc","CONF_156","planned"
"CONF07","joint",1,"CONF07_joint_1p00","winn_fixed_no_qc","CONF_157","planned"
"CONF08","joint",1,"CONF08_joint_1p00","winn_fixed_no_qc","CONF_158","planned"
"CONF09","joint",1,"CONF09_joint_1p00","winn_fixed_no_qc","CONF_159","planned"
"CONF10","joint",1,"CONF10_joint_1p00","winn_fixed_no_qc","CONF_160","planned"
