"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset","metric_label"
"batch_weighted_pc_r2_categorical",0.0108480104370861,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","winn_fixed_no_qc","WiNN fixed default (no QC)","MTBLS79","Batch weighted-PC R²"
"heldout_qc_cv_mean",16.6785376235596,"lower",2488,"percent","","mtbls79","winn_fixed_no_qc","WiNN fixed default (no QC)","MTBLS79","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.00221061093247588,"lower",19904,"proportion","","mtbls79","winn_fixed_no_qc","WiNN fixed default (no QC)","MTBLS79","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.140078697278888,"lower",19904,"proportion","","mtbls79","winn_fixed_no_qc","WiNN fixed default (no QC)","MTBLS79","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.150509455379697,"lower",536,"weighted R-squared","Batch is explicitly categorical.","clinical_fiams","raw","Raw","Clinical FIA-MS","Batch weighted-PC R²"
"heldout_qc_cv_mean",16.5943872074111,"lower",1594,"percent","","clinical_fiams","raw","Raw","Clinical FIA-MS","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.154720828105395,"lower",12752,"proportion","","clinical_fiams","raw","Raw","Clinical FIA-MS","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.120300147162855,"lower",12752,"proportion","","clinical_fiams","raw","Raw","Clinical FIA-MS","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00325637124009369,"lower",536,"weighted R-squared","Batch is explicitly categorical.","clinical_fiams","combat","ComBat","Clinical FIA-MS","Batch weighted-PC R²"
"heldout_qc_cv_mean",14.5490776587855,"lower",1594,"percent","","clinical_fiams","combat","ComBat","Clinical FIA-MS","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.154720828105395,"lower",12752,"proportion","","clinical_fiams","combat","ComBat","Clinical FIA-MS","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.120300025396866,"lower",12752,"proportion","","clinical_fiams","combat","ComBat","Clinical FIA-MS","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00150491062425635,"lower",536,"weighted R-squared","Batch is explicitly categorical.","clinical_fiams","qc_rlsc","QC-RLSC","Clinical FIA-MS","Batch weighted-PC R²"
"heldout_qc_cv_mean",16.0721337884362,"lower",1594,"percent","","clinical_fiams","qc_rlsc","QC-RLSC","Clinical FIA-MS","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.172678795483061,"lower",12752,"proportion","","clinical_fiams","qc_rlsc","QC-RLSC","Clinical FIA-MS","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.124361486408239,"lower",12752,"proportion","","clinical_fiams","qc_rlsc","QC-RLSC","Clinical FIA-MS","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0198201318449868,"lower",536,"weighted R-squared","Batch is explicitly categorical.","clinical_fiams","qc_rfsc","QC-RFSC","Clinical FIA-MS","Batch weighted-PC R²"
"heldout_qc_cv_mean",16.8529043310112,"lower",1594,"percent","","clinical_fiams","qc_rfsc","QC-RFSC","Clinical FIA-MS","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.141154328732748,"lower",12752,"proportion","","clinical_fiams","qc_rfsc","QC-RFSC","Clinical FIA-MS","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.113596751181853,"lower",12752,"proportion","","clinical_fiams","qc_rfsc","QC-RFSC","Clinical FIA-MS","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0302796966078811,"lower",536,"weighted R-squared","Batch is explicitly categorical.","clinical_fiams","tiger","TIGER","Clinical FIA-MS","Batch weighted-PC R²"
"heldout_qc_cv_mean",14.0718306414914,"lower",1594,"percent","","clinical_fiams","tiger","TIGER","Clinical FIA-MS","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.0962986198243413,"lower",12752,"proportion","","clinical_fiams","tiger","TIGER","Clinical FIA-MS","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.090270192098153,"lower",12752,"proportion","","clinical_fiams","tiger","TIGER","Clinical FIA-MS","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00559464409873415,"lower",536,"weighted R-squared","Batch is explicitly categorical.","clinical_fiams","serrf","SERRF","Clinical FIA-MS","Batch weighted-PC R²"
"heldout_qc_cv_mean",14.1245087357378,"lower",1594,"percent","","clinical_fiams","serrf","SERRF","Clinical FIA-MS","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.13801756587202,"lower",12752,"proportion","","clinical_fiams","serrf","SERRF","Clinical FIA-MS","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.10794244146556,"lower",12752,"proportion","","clinical_fiams","serrf","SERRF","Clinical FIA-MS","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00218809939109416,"lower",536,"weighted R-squared","Batch is explicitly categorical.","clinical_fiams","winn_auto_qc","WiNN auto (QC)","Clinical FIA-MS","Batch weighted-PC R²"
"heldout_qc_cv_mean",10.9567695269855,"lower",1594,"percent","","clinical_fiams","winn_auto_qc","WiNN auto (QC)","Clinical FIA-MS","Held-out QC CV (%)"
"residual_ljung_box_proportion_significant",0.123902132998745,"lower",12752,"proportion","","clinical_fiams","winn_auto_qc","WiNN auto (QC)","Clinical FIA-MS","Ljung-Box positive"
"residual_run_order_gam_mean_deviance",0.082932682096861,"lower",12752,"proportion","","clinical_fiams","winn_auto_qc","WiNN auto (QC)","Clinical FIA-MS","Residual GAM deviance"
