"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id","metric_label"
"heldout_qc_cv_mean",8.74885537311953,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SIM03","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.019537301278022,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SIM03","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000929755156199981,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_qc","WiNN auto (QC)","SIM03","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.922199812074577,"higher",1000,"ICC(A,1)","","simulation","winn_auto_qc","WiNN auto (QC)","SIM03","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.921192414346395,"higher",450,"correlation","","simulation","winn_auto_qc","WiNN auto (QC)","SIM03","Truth sample Pearson"
"heldout_qc_cv_mean",15.6281047197911,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM03","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.115783534285059,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM03","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.194995976319088,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM03","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.867146871122525,"higher",1000,"ICC(A,1)","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM03","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.874002310303774,"higher",450,"correlation","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM03","Truth sample Pearson"
"heldout_qc_cv_mean",8.74467176482345,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM03","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0213438612364564,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM03","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00068104865188373,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM03","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.92196663424219,"higher",1000,"ICC(A,1)","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM03","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.920878251094504,"higher",450,"correlation","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM03","Truth sample Pearson"
"heldout_qc_cv_mean",44.4829301439678,"lower",1000,"percent","","simulation","raw","Raw","SIM04","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.128999212207027,"lower",5000,"proportion","","simulation","raw","Raw","SIM04","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.963672277422109,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","SIM04","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.583460354029746,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","SIM04","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.527958759118997,"higher",450,"correlation","","simulation","raw","Raw","SIM04","Truth sample Pearson"
"heldout_qc_cv_mean",12.9916709746876,"lower",1000,"percent","","simulation","combat","ComBat","SIM04","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.128998990277918,"lower",5000,"proportion","","simulation","combat","ComBat","SIM04","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.000113800341226412,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","SIM04","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.879023797490488,"higher",1000,"ICC(A,1)","","simulation","combat","ComBat","SIM04","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.880814016368057,"higher",450,"correlation","","simulation","combat","ComBat","SIM04","Truth sample Pearson"
"heldout_qc_cv_mean",11.6809968854423,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SIM04","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.057243273417772,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SIM04","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",9.3504666372733e-05,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rlsc","QC-RLSC","SIM04","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.90162453868772,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","SIM04","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.903253006610525,"higher",450,"correlation","","simulation","qc_rlsc","QC-RLSC","SIM04","Truth sample Pearson"
"heldout_qc_cv_mean",13.2173359565027,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SIM04","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.121979154492797,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SIM04","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.173127057682881,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rfsc","QC-RFSC","SIM04","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.695467307117741,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","SIM04","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.657669653065991,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","SIM04","Truth sample Pearson"
"heldout_qc_cv_mean",10.0031343596027,"lower",1000,"percent","","simulation","tiger","TIGER","SIM04","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0862983398148193,"lower",5000,"proportion","","simulation","tiger","TIGER","SIM04","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.0905309788961231,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","SIM04","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.869664552415098,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","SIM04","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.862064514475573,"higher",450,"correlation","","simulation","tiger","TIGER","SIM04","Truth sample Pearson"
"heldout_qc_cv_mean",12.7087527186891,"lower",1000,"percent","","simulation","serrf","SERRF","SIM04","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0992751574708193,"lower",5000,"proportion","","simulation","serrf","SERRF","SIM04","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00124248111273319,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","serrf","SERRF","SIM04","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.885195106629632,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","SIM04","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.87946756871461,"higher",450,"correlation","","simulation","serrf","SERRF","SIM04","Truth sample Pearson"
"heldout_qc_cv_mean",8.65609893620397,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SIM04","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0187366631649198,"lower",5000,"proportion","","simulation","winn_auto_qc","WiNN auto (QC)","SIM04","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.00122085510077192,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_qc","WiNN auto (QC)","SIM04","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.922316152245494,"higher",1000,"ICC(A,1)","","simulation","winn_auto_qc","WiNN auto (QC)","SIM04","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.927522225420304,"higher",450,"correlation","","simulation","winn_auto_qc","WiNN auto (QC)","SIM04","Truth sample Pearson"
"heldout_qc_cv_mean",13.0206805665538,"lower",1000,"percent","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM04","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.137751735762044,"lower",5000,"proportion","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM04","Residual GAM deviance"
"batch_weighted_pc_r2_categorical",0.189764427527771,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM04","Batch weighted-PC R²"
"truth_metabolite_profile_icc_mean",0.857737831912597,"higher",1000,"ICC(A,1)","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM04","Truth metabolite ICC"
"truth_sample_profile_pearson_mean",0.86946584052613,"higher",450,"correlation","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SIM04","Truth sample Pearson"
"heldout_qc_cv_mean",8.66243326850821,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM04","Held-out QC CV (%)"
"residual_run_order_gam_mean_deviance",0.0204872060459964,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SIM04","Residual GAM deviance"
