"array_index","scenario_id","pre_v2_job_id","pre_v2_attempt_status","pre_v2_scientifically_eligible","v2_retry_required","pre_v2_expected_raw_intensity_round10_sha256","pre_v2_expected_clean_intensity_round10_sha256","pre_v2_observed_raw_intensity_round10_sha256","pre_v2_observed_clean_intensity_round10_sha256","pre_v2_reference_raw_intensity_object_sha256","pre_v2_observed_raw_intensity_object_sha256","pre_v2_reference_clean_ground_truth_object_sha256","pre_v2_observed_clean_ground_truth_object_sha256","raw_intensity_max_abs_difference","raw_intensity_median_abs_difference","raw_intensity_nonzero_difference_cells","raw_intensity_cells_above_1e_minus_12","raw_log_with_biology_max_abs_difference","raw_log_round10_identical"
34,"CONF03_batch_0p25","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"481e7d9404b1a419fa7498ba3917c90cc2f376977ba3cc52e0bda1344ef3aa3c","5e77de0c424743f9a18fd898d51ac007b8a8a42502b65d65ee954932c50dd0ba","","","172780f7ae2d7cc7700c98de2af7fddee73c13b915f1862804e454f24d826920","","58d646db2e01d7e0977cebb151e15c1b681fd3311127e28bcf3a515e04470dc8","",,,,,,
35,"CONF03_run_order_0p25","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"1626dbd117c782c3ad00829e4f874f25cfe8e63a08a6ef76164965a76284194d","429b95081beeeb3c23e9ed5bf067290f7ac60a79ecd31f457ca1519cb6daaccb","","","3b8abfa54144a1b246ddaf2707d699d691fb0f0adab65bfe555c24e68b4d0fbb","","2d4b85a14865ea78516e434bd8dc7e57ed4d85d40d8446075a08d7801b924c93","",,,,,,
36,"CONF03_joint_0p25","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"8fac40afd5584eb5f64d6f5378f95aef3314d4c00f1d3b7b9ad4939abf5c341b","4034814896c19d0bd587aecbbeb3a849ac3bbb72e5d82695e19fe0c628c7ec4b","","","8ede24a0dc66ff90031a607f81c5f67ae203d9daac7aa29251264b013c0d0de8","","a2aba36a98575875a236792b951cb3fc0493f4308a32c1df1f028ef2bf862592","",,,,,,
37,"CONF03_batch_0p50","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"74127c6f919212ef65ab29bf22cc758674509d714b4288f715d53078963cf7ce","815baca7a3fa0f113406aab04d7961216cfe8801476ae680dda332d3bf7e33aa","","","8e5188aaf2e4c8c0eae9803e7ae2fc8a6fde07b61da3114a76b6f4d6fc7610e5","","d8e98339526e5fd928c879a9ddd662d52f9eb26174fcaacad3522a7e2ea5ea75","",,,,,,
38,"CONF03_run_order_0p50","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"f800fee95e2791d28c5dab43416c2dccc339d6442d6828f164847edb74b262e1","3947653e9920a80c831c18cd10b2238c57c390586da4b73991e8c1cc2b72d803","","","6efcffc1059060cc0074e0d50c2cd260224792816fdcb87c99122e9883439899","","61987373dba0a17152c6c402eca27be02d20e17387f5846d2d05040839f15347","",,,,,,
39,"CONF03_joint_0p50","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"126da224bb67822919e24b1f935f57f4212521f1748a3dbe61c3d514595bfccf","06efc87d23d526ce7f78770c96ed4836b357e666e628bb88187053545b24ffce","","","d21173c6bd96ece36f195366d44aec1ddf0d745c42b256d0f933b72af8f3b229","","3bf5dcce7aa00e4e6a283246864290aa63559ad5ec2b05f5bacd70129c51b60d","",,,,,,
40,"CONF03_batch_0p75","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"8f4bd7c732cb5e2e54ef857e22ebd350acf57bd4fdc69cd63afd5a4aea39760a","642a26c143a1bdc6f9bcc963fefc86beef0d11cacf7245ced2865ae398d04b06","","","3b5f1632c6e4692a319915784029e28c3e184648aab1525a9bca8339f3ff1dd1","","b5e4ef72eca993a4cb3e62118a25ee13b62f8d2bc62542f8bfc3984587cdfc56","",,,,,,
41,"CONF03_run_order_0p75","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"3eeaa287b8c1bb6b33e98107af033765f03d9cf9ca8a7e598da648b3c174c877","bbd27ed905efeeae2cc94c6f3f74891b9899af1a42964ee8c32f5c0c3e6626aa","","","7e4a2bd161548b54d31f4ad38cd694983b111a7db395a3224e8b3c28b3063700","","d11d302563113096409a7ee43825d8ba811bdb92cf56b36e03a1b8f7c1183da4","",,,,,,
42,"CONF03_joint_0p75","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"5c429db883370a221a2d1a83cb8566fde6f4fbf591d5c60296cbddb79539691e","8bd3888a6fc62b71bc538fb9cb1ec04bd099a12c82370b4fa6d46ca59b46652c","","","b199317b097f3c141fd1e611d65210ed0def51f046e2651753650404c5d91fb0","","f313cd4019be4422d8389403642be78fae33d216eafeca185c188542e9be584a","",,,,,,
43,"CONF03_batch_0p90","8385353","failed_v1_intensity_round10_portability_gate",FALSE,TRUE,"71e2cf5ad1fe9f1d9e9dfa6f25a61d877361c9889574cbafa975fd615fa5df0b","d4cd4ecfcf640f9a3931433ea12a8d7954cbae02cea7847a03a837505200c4b2","","","7218d6e2950b07cfd59737cdab75293bfa1a345992102e5b2b9d37f41875f949","","6a29cd5eeed07b93ea7f8e829ba14883d37bd7967b73a14bf089e78eb7ba5119","",,,,,,
