"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id"
"retained_samples",500,"higher",500,"samples","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM02"
"runtime_sec",5.356,"lower",1,"seconds","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM02"
"drift_profiles_corrected",1459,"descriptive",5000,"profiles","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM02"
"drift_features_corrected",649,"descriptive",1000,"features","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM02"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM02"
"truth_metabolite_profile_icc_mean",0.619926550260899,"higher",1000,"ICC(A,1)","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM02"
"truth_sample_profile_pearson_mean",0.549242242723938,"higher",450,"correlation","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM02"
"truth_log1p_rmse",0.247122359746501,"lower",450000,"log1p intensity","","simulation","C2_SELECTIVE_DRIFT","+ selective drift","SIM02"
"heldout_qc_cv_mean",9.07508252745347,"lower",1000,"percent","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"heldout_qc_cv_sd",6.48452734741862,"lower",1000,"percent","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"heldout_qc_cv_median",7.90456466013854,"lower",1000,"percent","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"residual_run_order_gam_mean_deviance",0.0212481157679079,"lower",5000,"proportion","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"residual_run_order_gam_sd_deviance",0.0357260252741812,"lower",5000,"proportion","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"residual_ljung_box_proportion_significant",0.0048,"lower",5000,"proportion","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"batch_weighted_pc_r2_categorical",0.001197727771555,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"runtime_sec",6.898,"lower",1,"seconds","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
"drift_profiles_corrected",1459,"descriptive",5000,"profiles","","simulation","C3_SELECTIVE_BATCH","+ selective batch","SIM02"
