"dataset_key","dataset","metric","direction","G_SS","G_AS","G_SA","G_AA","selective_drift_benefit","selective_batch_benefit","fully_selective_benefit","contrast_definition"
"batchcorr_set1","BatchCorr Set 1","drift_features_corrected","descriptive",150,199,150,199,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","batch_features_corrected","descriptive",195,196,199,199,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","biological_weighted_pc_r2","higher",0.829484175037435,0.812807386397425,0.829369310301113,0.812721013011039,0.01667678864001,0.00011486473632194,0.0167631620263959,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","feature_repeatability_ratio_median","higher",0.695315540683156,0.682738476706889,0.695081216990993,0.682518978311824,0.012577063976267,0.00023432369216303,0.0127965623713321,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","sample_replicate_pearson_median","higher",0.957541057965195,0.957378256759523,0.957090033886896,0.956969722286409,0.000162801205671914,0.000451024078299,0.000571335678785978,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","genuine_replicate_icc_median","higher",0.953917516280415,0.953921039363089,0.953801644472076,0.953957258246792,-3.52308267403956e-06,0.000115871808338941,-3.9741966377016e-05,"Positive values favor selective correction over the corresponding forced-correction condition."
"batchcorr_set1","BatchCorr Set 1","biological_associated_features","context",197,196,197,196,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","heldout_qc_cv_mean","lower",22.421913234801,23.5042049558585,21.9299926994854,22.9626454620396,1.0822917210575,-0.4919205353156,0.5407322272386,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","heldout_qc_cv_sd","lower",10.0042736885185,13.13972369563,9.48529918475739,13.2345168393841,3.1354500071115,-0.518974503761111,3.2302431508656,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","heldout_qc_cv_median","lower",20.7262308662042,20.1101016219649,20.579994922013,19.6126702631388,-0.6161292442393,-0.146235944191201,-1.1135606030654,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","residual_run_order_gam_mean_deviance","lower",0.0520147926987853,0.00452082116102002,0.0523762634412072,0.00483435797740552,-0.0474939715377653,0.000361470742421904,-0.0471804347213798,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","residual_run_order_gam_sd_deviance","lower",0.0673011809210797,0.00802249478855206,0.0678248666680279,0.00826134899584249,-0.0592786861325276,0.000523685746948194,-0.0590398319252372,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","residual_ljung_box_proportion_significant","lower",0.0309734513274336,0.00884955752212389,0.0309734513274336,0.00884955752212389,-0.0221238938053097,0,-0.0221238938053097,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","batch_weighted_pc_r2_categorical","lower",0.000737747609499402,0.00105850874958049,0.000442153745158434,0.000841918579778785,0.000320761140081088,-0.000295593864340968,0.000104170970279383,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","retained_features","higher",113,113,113,113,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","retained_samples","higher",210,210,210,210,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","runtime_sec","lower",1.119,2.481,1.127,2.461,1.362,0.00800000000000001,1.342,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","drift_profiles_corrected","descriptive",44,226,44,226,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","drift_features_corrected","descriptive",37,113,37,113,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","batch_features_corrected","descriptive",82,84,113,113,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","biological_weighted_pc_r2","higher",0.0457852706905809,0.0450719311645159,0.0459713960769054,0.0451397139096627,0.000713339526065004,-0.000186125386324502,0.000645556780918204,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","biological_associated_features","context",48,49,48,49,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"sacurine","Sacurine","cross_batch_effect_pearson_median","higher",0.537221386297552,0.551099930668215,0.537207329596118,0.551496323775515,-0.013878544370663,1.4056701433951e-05,-0.014274937477963,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","heldout_qc_cv_mean","lower",38.3003440498814,38.973854310665,38.2939983950556,38.9695454458858,0.673510260783594,-0.0063456548258003,0.669201396004397,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","heldout_qc_cv_sd","lower",39.5165917241963,40.1404373812242,39.5206030193524,40.142041322147,0.6238456570279,0.00401129515609711,0.625449597950698,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","heldout_qc_cv_median","lower",27.2736232431653,27.5344306874526,27.2469138993001,27.5321433796179,0.260807444287298,-0.0267093438651997,0.258520136452599,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","residual_run_order_gam_mean_deviance","lower",0.0141634445598343,0.00187501034065054,0.0141637417979582,0.00187535250880175,-0.0122884342191838,2.97238123900603e-07,-0.0122880920510326,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","residual_run_order_gam_sd_deviance","lower",0.0256953788431241,0.00880851910715437,0.0256959470065599,0.00880913823753104,-0.0168868597359697,5.68163435799018e-07,-0.0168862406055931,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","residual_ljung_box_proportion_significant","lower",0.135118402724037,0.135015219522262,0.135066811123149,0.135015219522262,-0.000103183201774992,-5.15916008879957e-05,-0.000103183201774992,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","batch_weighted_pc_r2_categorical","lower",0.00207900815504909,0.00148661487004652,0.0020631185319165,0.0014695177526822,-0.00059239328500257,-1.58896231325901e-05,-0.00060949040236689,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","retained_features","higher",6461,6461,6461,6461,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","retained_samples","higher",642,642,642,642,0,0,0,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","runtime_sec","lower",45.344,61.763,44.921,61.834,16.419,-0.423000000000002,16.49,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","drift_profiles_corrected","descriptive",12480,19383,12480,19383,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","drift_features_corrected","descriptive",5675,6461,5675,6461,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","batch_features_corrected","descriptive",6298,6304,6461,6461,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","biological_weighted_pc_r2","higher",0.0142279960061751,0.0144339199379805,0.01422870765154,0.0144348910953949,-0.0002059239318054,-7.11645364899136e-07,-0.0002068950892198,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","biological_associated_features","context",515,549,515,549,,,,"Positive values favor selective correction over the corresponding forced-correction condition."
"waveica","WaveICA","cross_batch_effect_pearson_median","higher",0.266637781078006,0.270022278327921,0.26668278836203,0.270076397548034,-0.00338449724991496,-4.50072840240123e-05,-0.00343861647002797,"Positive values favor selective correction over the corresponding forced-correction condition."
