"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","seed_id"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","simulation","combat","ComBat","SIM02"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","combat","ComBat","SIM02"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","combat","ComBat","SIM02"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","combat","ComBat","SIM02"
"truth_metabolite_profile_icc_mean",0.877058464265466,"higher",1000,"ICC(A,1)","","simulation","combat","ComBat","SIM02"
"truth_sample_profile_pearson_mean",0.879360851214528,"higher",450,"correlation","","simulation","combat","ComBat","SIM02"
"truth_log1p_rmse",0.104041863757707,"lower",450000,"log1p intensity","","simulation","combat","ComBat","SIM02"
"heldout_qc_cv_mean",12.7286285306739,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SIM02"
"heldout_qc_cv_sd",10.5924015579469,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SIM02"
"heldout_qc_cv_median",9.51910313283741,"lower",1000,"percent","","simulation","qc_rlsc","QC-RLSC","SIM02"
"residual_run_order_gam_mean_deviance",0.0534438666496551,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SIM02"
"residual_run_order_gam_sd_deviance",0.0906726275068555,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SIM02"
"residual_ljung_box_proportion_significant",0.0646,"lower",5000,"proportion","","simulation","qc_rlsc","QC-RLSC","SIM02"
"batch_weighted_pc_r2_categorical",0.000272197986484185,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rlsc","QC-RLSC","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rlsc","QC-RLSC","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rlsc","QC-RLSC","SIM02"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","simulation","qc_rlsc","QC-RLSC","SIM02"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rlsc","QC-RLSC","SIM02"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rlsc","QC-RLSC","SIM02"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rlsc","QC-RLSC","SIM02"
"truth_metabolite_profile_icc_mean",0.903059192263792,"higher",1000,"ICC(A,1)","","simulation","qc_rlsc","QC-RLSC","SIM02"
"truth_sample_profile_pearson_mean",0.904311620664417,"higher",450,"correlation","","simulation","qc_rlsc","QC-RLSC","SIM02"
"truth_log1p_rmse",0.0905198314245843,"lower",450000,"log1p intensity","","simulation","qc_rlsc","QC-RLSC","SIM02"
"heldout_qc_cv_mean",32.0168289753813,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SIM02"
"heldout_qc_cv_sd",27.9376451981716,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SIM02"
"heldout_qc_cv_median",25.7857994006264,"lower",1000,"percent","","simulation","qc_rfsc","QC-RFSC","SIM02"
"residual_run_order_gam_mean_deviance",0.11906457193557,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SIM02"
"residual_run_order_gam_sd_deviance",0.138184327355045,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SIM02"
"residual_ljung_box_proportion_significant",0.179,"lower",5000,"proportion","","simulation","qc_rfsc","QC-RFSC","SIM02"
"batch_weighted_pc_r2_categorical",0.117154334724755,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","qc_rfsc","QC-RFSC","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","qc_rfsc","QC-RFSC","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","qc_rfsc","QC-RFSC","SIM02"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","simulation","qc_rfsc","QC-RFSC","SIM02"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","qc_rfsc","QC-RFSC","SIM02"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SIM02"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","qc_rfsc","QC-RFSC","SIM02"
"truth_metabolite_profile_icc_mean",0.690082110890424,"higher",1000,"ICC(A,1)","","simulation","qc_rfsc","QC-RFSC","SIM02"
"truth_sample_profile_pearson_mean",0.665091411489081,"higher",450,"correlation","","simulation","qc_rfsc","QC-RFSC","SIM02"
"truth_log1p_rmse",0.19843260213262,"lower",450000,"log1p intensity","","simulation","qc_rfsc","QC-RFSC","SIM02"
"heldout_qc_cv_mean",10.397952597894,"lower",1000,"percent","","simulation","tiger","TIGER","SIM02"
"heldout_qc_cv_sd",10.9434438255824,"lower",1000,"percent","","simulation","tiger","TIGER","SIM02"
"heldout_qc_cv_median",8.29447198403595,"lower",1000,"percent","","simulation","tiger","TIGER","SIM02"
"residual_run_order_gam_mean_deviance",0.0838704973491164,"lower",5000,"proportion","","simulation","tiger","TIGER","SIM02"
"residual_run_order_gam_sd_deviance",0.126572666842011,"lower",5000,"proportion","","simulation","tiger","TIGER","SIM02"
"residual_ljung_box_proportion_significant",0.1652,"lower",5000,"proportion","","simulation","tiger","TIGER","SIM02"
"batch_weighted_pc_r2_categorical",0.0320282374516539,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","tiger","TIGER","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","tiger","TIGER","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","tiger","TIGER","SIM02"
"runtime_sec",1562.059,"lower",1,"seconds","measured method execution in frozen release","simulation","tiger","TIGER","SIM02"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","tiger","TIGER","SIM02"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SIM02"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","tiger","TIGER","SIM02"
"truth_metabolite_profile_icc_mean",0.869391193728504,"higher",1000,"ICC(A,1)","","simulation","tiger","TIGER","SIM02"
"truth_sample_profile_pearson_mean",0.84996526577812,"higher",450,"correlation","","simulation","tiger","TIGER","SIM02"
"truth_log1p_rmse",0.112838168927485,"lower",450000,"log1p intensity","","simulation","tiger","TIGER","SIM02"
"heldout_qc_cv_mean",13.0409237364573,"lower",1000,"percent","","simulation","serrf","SERRF","SIM02"
"heldout_qc_cv_sd",10.3018648994601,"lower",1000,"percent","","simulation","serrf","SERRF","SIM02"
"heldout_qc_cv_median",10.6125871592932,"lower",1000,"percent","","simulation","serrf","SERRF","SIM02"
"residual_run_order_gam_mean_deviance",0.0991270543958985,"lower",5000,"proportion","","simulation","serrf","SERRF","SIM02"
"residual_run_order_gam_sd_deviance",0.154567189305716,"lower",5000,"proportion","","simulation","serrf","SERRF","SIM02"
"residual_ljung_box_proportion_significant",0.1966,"lower",5000,"proportion","","simulation","serrf","SERRF","SIM02"
"batch_weighted_pc_r2_categorical",0.000579019480337715,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","serrf","SERRF","SIM02"
"retained_features",1000,"higher",1000,"features","","simulation","serrf","SERRF","SIM02"
"retained_samples",500,"higher",500,"samples","","simulation","serrf","SERRF","SIM02"
"runtime_sec",,"lower",1,"seconds","not remeasured; cache retrieval time excluded","simulation","serrf","SERRF","SIM02"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","serrf","SERRF","SIM02"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SIM02"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","serrf","SERRF","SIM02"
"truth_metabolite_profile_icc_mean",0.883285843419585,"higher",1000,"ICC(A,1)","","simulation","serrf","SERRF","SIM02"
"truth_sample_profile_pearson_mean",0.872192101154371,"higher",450,"correlation","","simulation","serrf","SERRF","SIM02"
"truth_log1p_rmse",0.0983462447772914,"lower",450000,"log1p intensity","","simulation","serrf","SERRF","SIM02"
"heldout_qc_cv_mean",9.14086434833699,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SIM02"
"heldout_qc_cv_sd",6.37230685625792,"lower",1000,"percent","","simulation","winn_auto_qc","WiNN auto (QC)","SIM02"
