"dataset_key","dataset","method_id","method","metric","value","direction","denominator","units"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","retained_features",1594,"higher",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","retained_samples",660,"higher",660,"samples"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","runtime_sec",11.077,"lower",1,"seconds"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","drift_profiles_corrected",2297,"descriptive",12752,"profiles"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","drift_features_corrected",1300,"descriptive",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","batch_features_corrected",1506,"descriptive",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","biological_weighted_pc_r2",0.799363081954994,"higher",536,"weighted R-squared"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","feature_repeatability_ratio_median",0.659272129860823,"higher",1594,"repeatability ratio"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","sample_replicate_pearson_median",0.990747863696587,"higher",267,"correlation"
"clinical_fiams","Clinical FIA-MS","G_SS","selective/selective","genuine_replicate_icc_median",0.989834812702034,"higher",267,"ICC(A,1)"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","heldout_qc_cv_mean",13.5327320895589,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","heldout_qc_cv_sd",5.73240661941162,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","heldout_qc_cv_median",12.1052861007706,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","residual_run_order_gam_mean_deviance",0.00520013836698004,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","residual_run_order_gam_sd_deviance",0.0136386634823728,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","residual_ljung_box_proportion_significant",0.134331869510665,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","batch_weighted_pc_r2_categorical",0.0010438538305947,"lower",536,"weighted R-squared"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","retained_features",1594,"higher",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","retained_samples",660,"higher",660,"samples"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","runtime_sec",33.689,"lower",1,"seconds"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","drift_profiles_corrected",12752,"descriptive",12752,"profiles"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","drift_features_corrected",1594,"descriptive",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","batch_features_corrected",1524,"descriptive",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","biological_weighted_pc_r2",0.779111279456564,"higher",536,"weighted R-squared"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","feature_repeatability_ratio_median",0.636970558682562,"higher",1594,"repeatability ratio"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","sample_replicate_pearson_median",0.990870682832852,"higher",267,"correlation"
"clinical_fiams","Clinical FIA-MS","G_AS","all/selective","genuine_replicate_icc_median",0.98993063118193,"higher",267,"ICC(A,1)"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","heldout_qc_cv_mean",12.3946699037692,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","heldout_qc_cv_sd",5.42319171552939,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","heldout_qc_cv_median",11.0898980510012,"lower",1594,"percent"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","residual_run_order_gam_mean_deviance",0.0727630834493838,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","residual_run_order_gam_sd_deviance",0.0789912534496783,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","residual_ljung_box_proportion_significant",0.0995138017565872,"lower",12752,"proportion"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","batch_weighted_pc_r2_categorical",0.00194397036013825,"lower",536,"weighted R-squared"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","retained_features",1594,"higher",1594,"features"
"clinical_fiams","Clinical FIA-MS","G_SA","selective/all","retained_samples",660,"higher",660,"samples"
