"scenario_id","seed_id","method","metric","value","metric_direction","units","status","confounding_type","level"
"CONF02_none_0p00","CONF02","Raw","heldout_qc_cv_mean",45.1104377268357,"lower","percent","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","heldout_qc_cv_median",42.9461635354047,"lower","percent","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","heldout_qc_cv_sd",32.4195718707206,"lower","percent","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","batch_weighted_pc_r2_categorical",0.964147080190124,"lower","weighted_R2","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","phenotype_weighted_pc_r2_categorical",0.00138967799162266,"descriptive","weighted_R2","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","residual_ljung_box_profiles_tested",5000,"descriptive","count","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","Raw","residual_ljung_box_profiles_significant",1230,"lower","count","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","Raw","residual_ljung_box_proportion_significant",0.246,"lower","proportion","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","Raw","residual_ljung_box_median_statistic",11.5518782215174,"lower","value","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","Raw","residual_run_order_gam_mean_deviance",0.125082521740413,"lower","value","calculated_full_feature_batch_profiles","none",0
"CONF02_none_0p00","CONF02","Raw","retained_features",1000,"higher","count","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","retained_samples",500,"higher","count","calculated","none",0
"CONF02_none_0p00","CONF02","Raw","runtime_sec",0,"lower","seconds","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","coefficient_pearson_vs_injected_all",0.950683635223421,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","coefficient_spearman_vs_injected_all",0.520336689798318,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","coefficient_pearson_vs_injected_responsive",0.989092825286429,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","coefficient_pearson_vs_clean_all",0.990156102629907,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","effect_rmse_vs_injected_all",0.0613952624119235,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","effect_rmse_vs_injected_responsive",0.188271638288165,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","effect_rmse_vs_clean_all",0.00871099519701608,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","effect_rmse_vs_clean_responsive",0.0227142297523571,"lower","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","recovered_vs_injected_slope",0.466587702949713,"descriptive","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","recovered_vs_injected_intercept",-0.000197748153552232,"descriptive","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","median_attenuation_ratio_injected_responsive",0.474213066889758,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","median_attenuation_ratio_clean_responsive",0.954875643518719,"higher","log1p_effect_or_ratio","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","sign_concordance_responsive",1,"higher","correlation_or_proportion","calculated","none",0
"CONF02_none_0p00","CONF02","WiNN fixed default (no QC)","n_discoveries_bh_0p05",104,"descriptive","count","calculated","none",0
