"analysis_family","task_id","dataset_key","seed_id","split_id","method_id","method","output_dir","floor_applied","negative_values_floored","features_with_flooring","samples_with_flooring","minimum_before_floor","rule"
"simulation_seed","SIM_027","simulation","SIM03",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM03/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_028","simulation","SIM04",,"raw","Raw","results/simulation_seeds/SIM04/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_029","simulation","SIM04",,"combat","ComBat","results/simulation_seeds/SIM04/combat",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_030","simulation","SIM04",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM04/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_031","simulation","SIM04",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM04/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_032","simulation","SIM04",,"tiger","TIGER","results/simulation_seeds/SIM04/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_033","simulation","SIM04",,"serrf","SERRF","results/simulation_seeds/SIM04/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_034","simulation","SIM04",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM04/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_035","simulation","SIM04",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM04/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_036","simulation","SIM04",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM04/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_037","simulation","SIM05",,"raw","Raw","results/simulation_seeds/SIM05/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_038","simulation","SIM05",,"combat","ComBat","results/simulation_seeds/SIM05/combat",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_039","simulation","SIM05",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM05/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_040","simulation","SIM05",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM05/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_041","simulation","SIM05",,"tiger","TIGER","results/simulation_seeds/SIM05/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_042","simulation","SIM05",,"serrf","SERRF","results/simulation_seeds/SIM05/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_043","simulation","SIM05",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM05/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_044","simulation","SIM05",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM05/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_045","simulation","SIM05",,"winn_fixed_no_qc","WiNN fixed default (no QC)","results/simulation_seeds/SIM05/winn_fixed_no_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_046","simulation","SIM06",,"raw","Raw","results/simulation_seeds/SIM06/raw",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_047","simulation","SIM06",,"combat","ComBat","results/simulation_seeds/SIM06/combat",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_048","simulation","SIM06",,"qc_rlsc","QC-RLSC","results/simulation_seeds/SIM06/qc_rlsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_049","simulation","SIM06",,"qc_rfsc","QC-RFSC","results/simulation_seeds/SIM06/qc_rfsc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_050","simulation","SIM06",,"tiger","TIGER","results/simulation_seeds/SIM06/tiger",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_051","simulation","SIM06",,"serrf","SERRF","results/simulation_seeds/SIM06/serrf",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_052","simulation","SIM06",,"winn_auto_qc","WiNN auto (QC)","results/simulation_seeds/SIM06/winn_auto_qc",FALSE,0,0,0,,"No negative corrected intensities."
"simulation_seed","SIM_053","simulation","SIM06",,"winn_auto_batch_qc","WiNN auto-batch (QC)","results/simulation_seeds/SIM06/winn_auto_batch_qc",FALSE,0,0,0,,"No negative corrected intensities."
