"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","dataset"
"residual_ljung_box_proportion_significant",0,"lower",19904,"proportion","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"residual_run_order_gam_mean_deviance",0.0965669642695464,"lower",19904,"proportion","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"residual_run_order_gam_sd_deviance",0.136866863263694,"lower",19904,"proportion","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"runtime_sec",258.677,"lower",1,"seconds","measured method execution in frozen release","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"sample_replicate_pearson_median",0.987598822200064,"higher",20,"correlation","","mtbls79","qc_rlsc","QC-RLSC","MTBLS79"
"batch_features_corrected",,"descriptive",2488,"features","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"batch_weighted_pc_r2_categorical",0.195482996167312,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"biological_associated_features",759,"context",2488,"features","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"biological_weighted_pc_r2",0.434507372476898,"higher",134,"weighted R-squared","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"drift_features_corrected",,"descriptive",2488,"features","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"drift_profiles_corrected",,"descriptive",19904,"profiles","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"heldout_qc_cv_mean",10.4280805137948,"lower",2488,"percent","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"heldout_qc_cv_median",6.68811629876674,"lower",2488,"percent","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"heldout_qc_cv_sd",15.2007605384526,"lower",2488,"percent","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"metabolite_icc_a1_median",0.619676984697669,"higher",2488,"ICC(A,1)","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"residual_ljung_box_proportion_significant",0.0028637459807074,"lower",19904,"proportion","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"residual_run_order_gam_mean_deviance",0.156433139273831,"lower",19904,"proportion","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"residual_run_order_gam_sd_deviance",0.17885305144419,"lower",19904,"proportion","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"retained_features",2488,"higher",2488,"features","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"retained_samples",172,"higher",172,"samples","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"runtime_sec",76.148,"lower",1,"seconds","measured method execution in frozen release","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"sample_replicate_pearson_median",0.993667266617772,"higher",20,"correlation","","mtbls79","qc_rfsc","QC-RFSC","MTBLS79"
"batch_features_corrected",,"descriptive",2488,"features","","mtbls79","tiger","TIGER","MTBLS79"
"batch_weighted_pc_r2_categorical",0.216351710561202,"lower",134,"weighted R-squared","Batch is explicitly categorical.","mtbls79","tiger","TIGER","MTBLS79"
"biological_associated_features",941,"context",2488,"features","","mtbls79","tiger","TIGER","MTBLS79"
"biological_weighted_pc_r2",0.415480584055808,"higher",134,"weighted R-squared","","mtbls79","tiger","TIGER","MTBLS79"
"drift_features_corrected",,"descriptive",2488,"features","","mtbls79","tiger","TIGER","MTBLS79"
"drift_profiles_corrected",,"descriptive",19904,"profiles","","mtbls79","tiger","TIGER","MTBLS79"
"heldout_qc_cv_mean",13.8067334269856,"lower",2488,"percent","","mtbls79","tiger","TIGER","MTBLS79"
