"dataset_key","dataset","method_id","method","metric","value","denominator","units"
"waveica","WaveICA","tiger","TIGER","retained_features",6461,6461,"features"
"waveica","WaveICA","tiger","TIGER","retained_samples",642,642,"samples"
"waveica","WaveICA","tiger","TIGER","runtime_sec",14426.045,1,"seconds"
"waveica","WaveICA","serrf","SERRF","retained_features",6461,6461,"features"
"waveica","WaveICA","serrf","SERRF","retained_samples",642,642,"samples"
"waveica","WaveICA","serrf","SERRF","runtime_sec",2081.708,1,"seconds"
"waveica","WaveICA","winn_auto_qc","WiNN auto (QC)","retained_features",6461,6461,"features"
"waveica","WaveICA","winn_auto_qc","WiNN auto (QC)","retained_samples",642,642,"samples"
"waveica","WaveICA","winn_auto_qc","WiNN auto (QC)","runtime_sec",131.779,1,"seconds"
"waveica","WaveICA","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_features",6461,6461,"features"
"waveica","WaveICA","winn_auto_batch_qc","WiNN auto-batch (QC)","retained_samples",642,642,"samples"
"waveica","WaveICA","winn_auto_batch_qc","WiNN auto-batch (QC)","runtime_sec",65.558,1,"seconds"
"waveica","WaveICA","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_features",6461,6461,"features"
"waveica","WaveICA","winn_fixed_no_qc","WiNN fixed default (no QC)","retained_samples",642,642,"samples"
"waveica","WaveICA","winn_fixed_no_qc","WiNN fixed default (no QC)","runtime_sec",49.106,1,"seconds"
