"metric","value","direction","denominator","units","notes","dataset_key","method_id","method","split_id","dataset"
"truth_sample_profile_pearson_mean",0.868555004153137,"higher",450,"correlation","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"truth_log1p_rmse",0.102732366108158,"lower",450000,"log1p intensity","","simulation","winn_auto_batch_qc","WiNN auto-batch (QC)","SPLIT01","Simulation"
"heldout_qc_cv_mean",8.56783654790495,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"heldout_qc_cv_sd",6.23690764668108,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"heldout_qc_cv_median",7.45576416015791,"lower",1000,"percent","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"residual_run_order_gam_mean_deviance",0.020259360410254,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"residual_run_order_gam_sd_deviance",0.033790592433155,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"residual_ljung_box_proportion_significant",0.0078,"lower",5000,"proportion","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"batch_weighted_pc_r2_categorical",0.000984578035653711,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"runtime_sec",6.562,"lower",1,"seconds","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"drift_profiles_corrected",1440,"descriptive",5000,"profiles","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"drift_features_corrected",655,"descriptive",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"batch_features_corrected",725,"descriptive",1000,"features","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"truth_metabolite_profile_icc_mean",0.922101988056287,"higher",1000,"ICC(A,1)","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"truth_sample_profile_pearson_mean",0.925722367961271,"higher",450,"correlation","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"truth_log1p_rmse",0.0717656363030658,"lower",450000,"log1p intensity","","simulation","winn_fixed_no_qc","WiNN fixed default (no QC)","SPLIT01","Simulation"
"heldout_qc_cv_mean",44.8593467294249,"lower",1000,"percent","","simulation","raw","Raw","SPLIT02","Simulation"
"heldout_qc_cv_sd",30.9613568568946,"lower",1000,"percent","","simulation","raw","Raw","SPLIT02","Simulation"
"heldout_qc_cv_median",42.8523111630461,"lower",1000,"percent","","simulation","raw","Raw","SPLIT02","Simulation"
"residual_run_order_gam_mean_deviance",0.12764961730634,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT02","Simulation"
"residual_run_order_gam_sd_deviance",0.197313555439377,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT02","Simulation"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","raw","Raw","SPLIT02","Simulation"
"batch_weighted_pc_r2_categorical",0.965647338615417,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","raw","Raw","SPLIT02","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","raw","Raw","SPLIT02","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","raw","Raw","SPLIT02","Simulation"
"runtime_sec",0.043,"lower",1,"seconds","","simulation","raw","Raw","SPLIT02","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","raw","Raw","SPLIT02","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SPLIT02","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","raw","Raw","SPLIT02","Simulation"
"truth_metabolite_profile_icc_mean",0.586183758689398,"higher",1000,"ICC(A,1)","","simulation","raw","Raw","SPLIT02","Simulation"
"truth_sample_profile_pearson_mean",0.521842186444926,"higher",450,"correlation","","simulation","raw","Raw","SPLIT02","Simulation"
"truth_log1p_rmse",0.290839531888212,"lower",450000,"log1p intensity","","simulation","raw","Raw","SPLIT02","Simulation"
"heldout_qc_cv_mean",12.8564983673704,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT02","Simulation"
"heldout_qc_cv_sd",9.85581716217997,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT02","Simulation"
"heldout_qc_cv_median",11.3731825999321,"lower",1000,"percent","","simulation","combat","ComBat","SPLIT02","Simulation"
"residual_run_order_gam_mean_deviance",0.127649520286793,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT02","Simulation"
"residual_run_order_gam_sd_deviance",0.197313916613525,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT02","Simulation"
"residual_ljung_box_proportion_significant",0.2482,"lower",5000,"proportion","","simulation","combat","ComBat","SPLIT02","Simulation"
"batch_weighted_pc_r2_categorical",0.000103519147488483,"lower",450,"weighted R-squared","Batch is explicitly categorical.","simulation","combat","ComBat","SPLIT02","Simulation"
"retained_features",1000,"higher",1000,"features","","simulation","combat","ComBat","SPLIT02","Simulation"
"retained_samples",500,"higher",500,"samples","","simulation","combat","ComBat","SPLIT02","Simulation"
"runtime_sec",1.907,"lower",1,"seconds","","simulation","combat","ComBat","SPLIT02","Simulation"
"drift_profiles_corrected",,"descriptive",5000,"profiles","","simulation","combat","ComBat","SPLIT02","Simulation"
"drift_features_corrected",,"descriptive",1000,"features","","simulation","combat","ComBat","SPLIT02","Simulation"
"batch_features_corrected",,"descriptive",1000,"features","","simulation","combat","ComBat","SPLIT02","Simulation"
"truth_metabolite_profile_icc_mean",0.879386831580911,"higher",1000,"ICC(A,1)","","simulation","combat","ComBat","SPLIT02","Simulation"
"truth_sample_profile_pearson_mean",0.881066706839948,"higher",450,"correlation","","simulation","combat","ComBat","SPLIT02","Simulation"
"truth_log1p_rmse",0.103140426488342,"lower",450000,"log1p intensity","","simulation","combat","ComBat","SPLIT02","Simulation"
